Database ID (database_id),CARRIERS ID (carriers_id),DNA Failed QC (caqc_fail),Sequencing Protocol (sub_seq_protocol),DNA Buffer (cast_buffer),Plate Barcode (cast_plate_barcode),Plate Location in Couch Lab (cast_plate_lab_location),Plate Coordinate (sub_plate_coordinate),Plate Volume (uL) (sub_plate_vol),Plate Concentration (ng/uL) (sub_plate_conc),Quibit Result (ng/uL) (caqc_qubit),Was stock sample modified (caqc_mod),Date Working Plate Created (cawk_plate_date),Working Plate Barcode (cawk_plate_barcode),Working Plate Coordinate (cawk_plate_coordinate),Working Plate Volume Water Added (uL) (cawk_plate_vol_water),Working Plate Volume Sample Added (uL) (cawk_plate_vol_stock),Working Plate Total Volume (uL) (cawk_plate_vol),Working Plate Final Concentration (ng/uL) (cawk_plate_conc),Working Plate Location in Couch Lab (cawk_plate_lab_location),Working Plate Complete (cawk_complete),Send sample to UPenn (caup_upenn)
1145,CA00001145,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
1146,CA00001146,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
1147,CA00001147,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
1148,CA00001148,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
1149,CA00001149,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
1150,CA00001150,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
1151,CA00001151,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
1152,CA00001152,,Qiagen,1XTE,CAST00000013,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
1153,CA00001153,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
1154,CA00001154,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
1155,CA00001155,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
1156,CA00001156,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
1157,CA00001157,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
1158,CA00001158,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
1159,CA00001159,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
1160,CA00001160,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
1161,CA00001161,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
1162,CA00001162,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
1163,CA00001163,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
1164,CA00001164,,Qiagen,1XTE,CAST00000013,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
1165,CA00001165,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
1166,CA00001166,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
1167,CA00001167,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C03,10,50,,0,,,C03,,,,,,0,0
1168,CA00001168,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C04,10,50,,0,,,C04,,,,,,0,0
1169,CA00001169,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C05,10,50,,0,,,C05,,,,,,0,0
1170,CA00001170,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C06,10,50,,0,,,C06,,,,,,0,0
1171,CA00001171,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C07,10,50,,0,,,C07,,,,,,0,0
1172,CA00001172,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C08,10,50,,0,,,C08,,,,,,0,0
1173,CA00001173,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C09,10,50,,0,,,C09,,,,,,0,0
1174,CA00001174,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C10,10,50,,0,,,C10,,,,,,0,0
1175,CA00001175,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C11,10,50,,0,,,C11,,,,,,0,0
1176,CA00001176,,Qiagen,1XTE,CAST00000013,cold room drawer 1,C12,10,50,,0,,,C12,,,,,,0,0
1177,CA00001177,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,D01,10,50,,0,,,D01,,,,,,0,0
1178,CA00001178,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D02,10,50,,0,,,D02,,,,,,0,0
1179,CA00001179,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D03,10,50,,0,,,D03,,,,,,0,0
1180,CA00001180,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D04,10,50,,0,,,D04,,,,,,0,0
1181,CA00001181,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D05,10,50,,0,,,D05,,,,,,0,0
1182,CA00001182,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D06,10,50,,0,,,D06,,,,,,0,0
1183,CA00001183,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D07,10,50,,0,,,D07,,,,,,0,0
1184,CA00001184,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D08,10,50,,0,,,D08,,,,,,0,0
1185,CA00001185,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D09,10,50,,0,,,D09,,,,,,0,0
1186,CA00001186,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D10,10,50,,0,,,D10,,,,,,0,0
1187,CA00001187,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D11,10,50,,0,,,D11,,,,,,0,0
1188,CA00001188,,Qiagen,1XTE,CAST00000013,cold room drawer 1,D12,10,50,,0,,,D12,,,,,,0,0
1189,CA00001189,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,E01,10,50,,0,,,E01,,,,,,0,0
1190,CA00001190,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E02,10,50,,0,,,E02,,,,,,0,0
1191,CA00001191,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E03,10,50,,0,,,E03,,,,,,0,0
1192,CA00001192,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E04,10,50,,0,,,E04,,,,,,0,0
1193,CA00001193,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E05,10,50,,0,,,E05,,,,,,0,0
1194,CA00001194,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E06,10,50,,0,,,E06,,,,,,0,0
1195,CA00001195,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E07,10,50,,0,,,E07,,,,,,0,0
1196,CA00001196,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E08,10,50,,0,,,E08,,,,,,0,0
1197,CA00001197,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E09,10,50,,0,,,E09,,,,,,0,0
1198,CA00001198,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E10,10,50,,0,,,E10,,,,,,0,0
1199,CA00001199,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E11,10,50,,0,,,E11,,,,,,0,0
1200,CA00001200,,Qiagen,1XTE,CAST00000013,cold room drawer 1,E12,10,50,,0,,,E12,,,,,,0,0
1201,CA00001201,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,F01,10,50,,0,,,F01,,,,,,0,0
1202,CA00001202,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F02,10,50,,0,,,F02,,,,,,0,0
1203,CA00001203,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F03,10,50,,0,,,F03,,,,,,0,0
1204,CA00001204,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F04,10,50,,0,,,F04,,,,,,0,0
1205,CA00001205,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F05,10,50,,0,,,F05,,,,,,0,0
1206,CA00001206,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F06,10,50,,0,,,F06,,,,,,0,0
1207,CA00001207,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F07,10,50,,0,,,F07,,,,,,0,0
1208,CA00001208,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F08,10,50,,0,,,F08,,,,,,0,0
1209,CA00001209,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F09,10,50,,0,,,F09,,,,,,0,0
1210,CA00001210,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F10,10,50,,0,,,F10,,,,,,0,0
1211,CA00001211,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F11,10,50,,0,,,F11,,,,,,0,0
1212,CA00001212,,Qiagen,1XTE,CAST00000013,cold room drawer 1,F12,10,50,,0,,,F12,,,,,,0,0
1213,CA00001213,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,G01,10,50,,0,,,G01,,,,,,0,0
1214,CA00001214,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G02,10,50,,0,,,G02,,,,,,0,0
1215,CA00001215,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G03,10,50,,0,,,G03,,,,,,0,0
1216,CA00001216,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G04,10,50,,0,,,G04,,,,,,0,0
1217,CA00001217,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G05,10,50,,0,,,G05,,,,,,0,0
1218,CA00001218,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G06,10,50,,0,,,G06,,,,,,0,0
1219,CA00001219,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G07,10,50,,0,,,G07,,,,,,0,0
1220,CA00001220,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G08,10,50,,0,,,G08,,,,,,0,0
1221,CA00001221,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G09,10,50,,0,,,G09,,,,,,0,0
1222,CA00001222,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G10,10,50,,0,,,G10,,,,,,0,0
1223,CA00001223,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G11,10,50,,0,,,G11,,,,,,0,0
1224,CA00001224,,Qiagen,1XTE,CAST00000013,cold room drawer 1,G12,10,50,,0,,,G12,,,,,,0,0
1225,CA00001225,0,Qiagen,1XTE,CAST00000013,cold room drawer 1,H01,10,50,,0,,,H01,,,,,,0,0
1226,CA00001226,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H02,10,50,,0,,,H02,,,,,,0,0
1227,CA00001227,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H03,10,50,,0,,,H03,,,,,,0,0
1228,CA00001228,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H04,10,50,,0,,,H04,,,,,,0,0
1229,CA00001229,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H05,10,50,,0,,,H05,,,,,,0,0
1230,CA00001230,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H06,10,50,,0,,,H06,,,,,,0,0
1231,CA00001231,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H07,10,50,,0,,,H07,,,,,,0,0
1232,CA00001232,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H08,10,50,,0,,,H08,,,,,,0,0
1233,CA00001233,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H09,10,50,,0,,,H09,,,,,,0,0
1234,CA00001234,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H10,10,50,,0,,,H10,,,,,,0,0
1235,CA00001235,,Qiagen,1XTE,CAST00000013,cold room drawer 1,H11,10,50,,0,,,H11,,,,,,0,0
1236,CA00001236,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A01,10,50,,0,,,A01,,,,,,0,0
1237,CA00001237,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A02,10,50,,0,,,A02,,,,,,0,0
1238,CA00001238,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A03,10,50,,0,,,A03,,,,,,0,0
1239,CA00001239,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A04,10,50,,0,,,A04,,,,,,0,0
1240,CA00001240,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
1241,CA00001241,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
1242,CA00001242,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
1243,CA00001243,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
1244,CA00001244,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
1245,CA00001245,,Qiagen,1XTE,CAST00000014,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
1246,CA00001246,,Qiagen,1XTE,CAST00000014,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
1247,CA00001247,,Qiagen,1XTE,CAST00000014,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
1248,CA00001248,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
1249,CA00001249,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
1250,CA00001250,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
1251,CA00001251,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
1252,CA00001252,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
1253,CA00001253,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
1254,CA00001254,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
1255,CA00001255,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
1256,CA00001256,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
1257,CA00001257,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
1258,CA00001258,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
1259,CA00001259,,Qiagen,1XTE,CAST00000014,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
1260,CA00001260,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
1261,CA00001261,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
1262,CA00001262,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C03,10,50,,0,,,C03,,,,,,0,0
1263,CA00001263,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C04,10,50,,0,,,C04,,,,,,0,0
1264,CA00001264,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C05,10,50,,0,,,C05,,,,,,0,0
1265,CA00001265,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C06,10,50,,0,,,C06,,,,,,0,0
1266,CA00001266,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C07,10,50,,0,,,C07,,,,,,0,0
1267,CA00001267,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C08,10,50,,0,,,C08,,,,,,0,0
1268,CA00001268,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C09,10,50,,0,,,C09,,,,,,0,0
1269,CA00001269,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C10,10,50,,0,,,C10,,,,,,0,0
1270,CA00001270,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C11,10,50,,0,,,C11,,,,,,0,0
1271,CA00001271,,Qiagen,1XTE,CAST00000014,cold room drawer 1,C12,10,50,,0,,,C12,,,,,,0,0
1272,CA00001272,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,D01,10,50,,0,,,D01,,,,,,0,0
1273,CA00001273,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D02,10,50,,0,,,D02,,,,,,0,0
1274,CA00001274,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D03,10,50,,0,,,D03,,,,,,0,0
1275,CA00001275,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D04,10,50,,0,,,D04,,,,,,0,0
1276,CA00001276,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D05,10,50,,0,,,D05,,,,,,0,0
1277,CA00001277,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D06,10,50,,0,,,D06,,,,,,0,0
1278,CA00001278,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D07,10,50,,0,,,D07,,,,,,0,0
1279,CA00001279,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D08,10,50,,0,,,D08,,,,,,0,0
1280,CA00001280,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D09,10,50,,0,,,D09,,,,,,0,0
1281,CA00001281,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D10,10,50,,0,,,D10,,,,,,0,0
1282,CA00001282,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D11,10,50,,0,,,D11,,,,,,0,0
1283,CA00001283,,Qiagen,1XTE,CAST00000014,cold room drawer 1,D12,10,50,,0,,,D12,,,,,,0,0
1284,CA00001284,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,E01,10,50,,0,,,E01,,,,,,0,0
1285,CA00001285,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E02,10,50,,0,,,E02,,,,,,0,0
1286,CA00001286,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E03,10,50,,0,,,E03,,,,,,0,0
1287,CA00001287,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E04,10,50,,0,,,E04,,,,,,0,0
1288,CA00001288,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E05,10,50,,0,,,E05,,,,,,0,0
1289,CA00001289,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E06,10,50,,0,,,E06,,,,,,0,0
1290,CA00001290,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E07,10,50,,0,,,E07,,,,,,0,0
1291,CA00001291,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E08,10,50,,0,,,E08,,,,,,0,0
1292,CA00001292,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E09,10,50,,0,,,E09,,,,,,0,0
1293,CA00001293,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E10,10,50,,0,,,E10,,,,,,0,0
1294,CA00001294,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E11,10,50,,0,,,E11,,,,,,0,0
1295,CA00001295,,Qiagen,1XTE,CAST00000014,cold room drawer 1,E12,10,50,,0,,,E12,,,,,,0,0
1296,CA00001296,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,F01,10,50,,0,,,F01,,,,,,0,0
1297,CA00001297,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F02,10,50,,0,,,F02,,,,,,0,0
1298,CA00001298,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F03,10,50,,0,,,F03,,,,,,0,0
1299,CA00001299,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F04,10,50,,0,,,F04,,,,,,0,0
1300,CA00001300,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F05,10,50,,0,,,F05,,,,,,0,0
1301,CA00001301,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F06,10,50,,0,,,F06,,,,,,0,0
1302,CA00001302,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F07,10,50,,0,,,F07,,,,,,0,0
1303,CA00001303,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F08,10,50,,0,,,F08,,,,,,0,0
1304,CA00001304,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F09,10,50,,0,,,F09,,,,,,0,0
1305,CA00001305,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F10,10,50,,0,,,F10,,,,,,0,0
1306,CA00001306,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F11,10,50,,0,,,F11,,,,,,0,0
1307,CA00001307,,Qiagen,1XTE,CAST00000014,cold room drawer 1,F12,10,50,,0,,,F12,,,,,,0,0
1308,CA00001308,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,G01,10,50,,0,,,G01,,,,,,0,0
1309,CA00001309,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G02,10,50,,0,,,G02,,,,,,0,0
1310,CA00001310,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G03,10,50,,0,,,G03,,,,,,0,0
1311,CA00001311,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G04,10,50,,0,,,G04,,,,,,0,0
1312,CA00001312,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G05,10,50,,0,,,G05,,,,,,0,0
1313,CA00001313,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G06,10,50,,0,,,G06,,,,,,0,0
1314,CA00001314,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G07,10,50,,0,,,G07,,,,,,0,0
1315,CA00001315,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G08,10,50,,0,,,G08,,,,,,0,0
1316,CA00001316,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G09,10,50,,0,,,G09,,,,,,0,0
1317,CA00001317,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G10,10,50,,0,,,G10,,,,,,0,0
1318,CA00001318,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G11,10,50,,0,,,G11,,,,,,0,0
1319,CA00001319,,Qiagen,1XTE,CAST00000014,cold room drawer 1,G12,10,50,,0,,,G12,,,,,,0,0
1320,CA00001320,0,Qiagen,1XTE,CAST00000014,cold room drawer 1,H01,10,50,,0,,,H01,,,,,,0,0
1321,CA00001321,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H02,10,50,,0,,,H02,,,,,,0,0
1322,CA00001322,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H03,10,50,,0,,,H03,,,,,,0,0
1323,CA00001323,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H04,10,50,,0,,,H04,,,,,,0,0
1324,CA00001324,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H05,10,50,,0,,,H05,,,,,,0,0
1325,CA00001325,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H06,10,50,,0,,,H06,,,,,,0,0
1326,CA00001326,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H07,10,50,,0,,,H07,,,,,,0,0
1327,CA00001327,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H08,10,50,,0,,,H08,,,,,,0,0
1328,CA00001328,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H09,10,50,,0,,,H09,,,,,,0,0
1329,CA00001329,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H10,10,50,,0,,,H10,,,,,,0,0
1330,CA00001330,,Qiagen,1XTE,CAST00000014,cold room drawer 1,H11,10,50,,0,,,H11,,,,,,0,0
1331,CA00001331,0,Qiagen,1XTE,CAST00000015,cold room drawer 1,A01,10,50,,0,,,A01,,,,,,0,0
1332,CA00001332,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A02,10,50,,0,,,A02,,,,,,0,0
1333,CA00001333,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A03,10,50,,0,,,A03,,,,,,0,0
1334,CA00001334,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A04,10,50,,0,,,A04,,,,,,0,0
1335,CA00001335,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A05,10,50,,0,,,A05,,,,,,0,0
1336,CA00001336,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A06,10,50,,0,,,A06,,,,,,0,0
1337,CA00001337,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A07,10,50,,0,,,A07,,,,,,0,0
1338,CA00001338,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A08,10,50,,0,,,A08,,,,,,0,0
1339,CA00001339,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A09,10,50,,0,,,A09,,,,,,0,0
1340,CA00001340,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A10,10,50,,0,,,A10,,,,,,0,0
1341,CA00001341,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A11,10,50,,0,,,A11,,,,,,0,0
1342,CA00001342,,Qiagen,1XTE,CAST00000015,cold room drawer 1,A12,10,50,,0,,,A12,,,,,,0,0
1343,CA00001343,0,Qiagen,1XTE,CAST00000015,cold room drawer 1,B01,10,50,,0,,,B01,,,,,,0,0
1344,CA00001344,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B02,10,50,,0,,,B02,,,,,,0,0
1345,CA00001345,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B03,10,50,,0,,,B03,,,,,,0,0
1346,CA00001346,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B04,10,50,,0,,,B04,,,,,,0,0
1347,CA00001347,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B05,10,50,,0,,,B05,,,,,,0,0
1348,CA00001348,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B06,10,50,,0,,,B06,,,,,,0,0
1349,CA00001349,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B07,10,50,,0,,,B07,,,,,,0,0
1350,CA00001350,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B08,10,50,,0,,,B08,,,,,,0,0
1351,CA00001351,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B09,10,50,,0,,,B09,,,,,,0,0
1352,CA00001352,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B10,10,50,,0,,,B10,,,,,,0,0
1353,CA00001353,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B11,10,50,,0,,,B11,,,,,,0,0
1354,CA00001354,,Qiagen,1XTE,CAST00000015,cold room drawer 1,B12,10,50,,0,,,B12,,,,,,0,0
1355,CA00001355,0,Qiagen,1XTE,CAST00000015,cold room drawer 1,C01,10,50,,0,,,C01,,,,,,0,0
1356,CA00001356,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C02,10,50,,0,,,C02,,,,,,0,0
1357,CA00001357,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C03,10,50,,0,,,C03,,,,,,0,0
1358,CA00001358,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C04,10,50,,0,,,C04,,,,,,0,0
1359,CA00001359,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C05,10,50,,0,,,C05,,,,,,0,0
1360,CA00001360,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C06,10,50,,0,,,C06,,,,,,0,0
1361,CA00001361,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C07,10,50,,0,,,C07,,,,,,0,0
1362,CA00001362,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C08,10,50,,0,,,C08,,,,,,0,0
1363,CA00001363,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C09,10,50,,0,,,C09,,,,,,0,0
1364,CA00001364,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C10,10,50,,0,,,C10,,,,,,0,0
1365,CA00001365,,Qiagen,1XTE,CAST00000015,cold room drawer 1,C11,10,50,,0,,,C11,,,,,,0,0
